Date,Close,High,Low,Open,Volume
1/02/2023,50464.57422,52390.26953,50464.57422,52107.07813,2006421
2/02/2023,51314.14453,52107.07813,50181.38281,50181.38281,1819621
3/02/2023,52673.46094,52673.46094,50464.57422,51144.23047,1648005
6/02/2023,54372.60547,54542.51953,51823.89063,52446.91016,2523917
7/02/2023,52107.07813,54089.41406,52107.07813,53976.13672,2594011
8/02/2023,53353.11719,54485.88281,52163.71875,52163.71875,1678726
9/02/2023,52673.46094,53806.22266,52673.46094,53126.56641,1483629
10/02/2023,53523.03516,53523.03516,52560.18359,53523.03516,1260104
13/02/2023,52956.65234,54032.77734,52107.07813,53692.94922,1576145
14/02/2023,52390.26953,52956.65234,51653.97656,52956.65234,2080047
15/02/2023,52673.46094,53353.11719,51653.97656,52390.26953,1587799
16/02/2023,52333.63281,53239.84375,52220.35547,52673.46094,1487689
17/02/2023,52673.46094,52843.375,52107.07813,52673.46094,1675902
20/02/2023,53126.56641,53523.03516,52673.46094,52673.46094,2049855
21/02/2023,53353.11719,53749.58594,53239.84375,53353.11719,1227970
22/02/2023,52673.46094,53409.75781,52390.26953,53353.11719,1891834
23/02/2023,52843.375,53239.84375,51653.97656,52673.46094,1846281
24/02/2023,52956.65234,53239.84375,50974.31641,52673.46094,1266637
27/02/2023,52560.18359,52956.65234,51937.16406,52673.46094,919874
28/02/2023,52956.65234,53069.92969,52446.91016,52730.09766,1104908
1/03/2023,52673.46094,52900.01563,52220.35547,52276.99609,1369570
2/03/2023,52786.73828,53126.56641,51993.80469,52673.46094,1738580
3/03/2023,51484.0625,52560.18359,51484.0625,51993.80469,1526532
6/03/2023,51540.69922,52220.35547,51540.69922,51540.69922,1256925
7/03/2023,52050.44141,52390.26953,51597.33594,51823.89063,1859700
8/03/2023,52220.35547,52220.35547,51370.78516,51540.69922,1539420
9/03/2023,52673.46094,52900.01563,51937.16406,52107.07813,1974111
10/03/2023,52163.71875,52390.26953,51823.89063,52220.35547,1366216
13/03/2023,51823.89063,52107.07813,51427.42188,52107.07813,1340439
14/03/2023,51540.69922,51653.97656,51257.50781,51540.69922,1600863
15/03/2023,51767.25,52107.07813,51597.33594,51880.52734,1502167
16/03/2023,51540.69922,52107.07813,50691.125,51540.69922,1423069
17/03/2023,50407.9375,51597.33594,50407.9375,51540.69922,4011784
20/03/2023,48199.05078,50691.125,48199.05078,50407.9375,1901545
21/03/2023,48991.98438,50917.67969,48368.96484,48368.96484,2071748
22/03/2023,50407.9375,50917.67969,49048.62109,49048.62109,1940034
23/03/2023,51370.78516,51370.78516,49445.08984,50294.66016,3434964
24/03/2023,50407.9375,51540.69922,50351.29688,51540.69922,1188245
27/03/2023,51540.69922,51540.69922,49841.55469,50407.9375,1458557
28/03/2023,51993.80469,52616.82422,51030.95703,51427.42188,1569259
29/03/2023,52276.99609,52390.26953,51257.50781,52390.26953,746492
30/03/2023,52503.54688,52786.73828,52107.07813,52276.99609,1069419
31/03/2023,51767.25,52786.73828,51257.50781,52560.18359,1824918
3/04/2023,52560.18359,52616.82422,51653.97656,51937.16406,1434898
4/04/2023,52107.07813,52616.82422,51880.52734,52560.18359,552453
5/04/2023,52163.71875,52276.99609,51597.33594,52276.99609,762737
6/04/2023,51653.97656,52163.71875,51653.97656,51823.89063,740313
7/04/2023,50974.31641,51597.33594,50691.125,51540.69922,1488749
10/04/2023,50407.9375,50974.31641,50407.9375,50974.31641,1204665
11/04/2023,49954.83203,50974.31641,49954.83203,50407.9375,1461205
12/04/2023,50011.46875,50181.38281,49841.55469,50011.46875,1026516
13/04/2023,49954.83203,50124.74609,49728.27734,50011.46875,1001092
14/04/2023,50068.10547,50464.57422,49954.83203,50011.46875,843600
17/04/2023,50068.10547,50124.74609,49728.27734,50068.10547,997383
18/04/2023,49841.55469,50181.38281,49558.36328,50011.46875,1338497
19/04/2023,50124.74609,50238.02344,49841.55469,49898.19141,870260
20/04/2023,50011.46875,50294.66016,49841.55469,50294.66016,455169
21/04/2023,49558.36328,49898.19141,49501.72656,49841.55469,1865350
24/04/2023,49784.91797,50124.74609,49275.17188,49841.55469,1033225
25/04/2023,50011.46875,50124.74609,49558.36328,49954.83203,998972
26/04/2023,50634.48828,50691.125,49784.91797,49841.55469,7143551
27/04/2023,50974.31641,51257.50781,50068.10547,50238.02344,1273523
28/04/2023,51257.50781,51257.50781,50294.66016,50974.31641,1307775
4/05/2023,50124.74609,50974.31641,50124.74609,50974.31641,986967
5/05/2023,50861.04297,50917.67969,49954.83203,50124.74609,1060239
8/05/2023,52673.46094,52786.73828,50861.04297,50974.31641,2759977
9/05/2023,52276.99609,53183.20313,52276.99609,52673.46094,1799846
10/05/2023,52107.07813,52673.46094,51880.52734,52050.44141,1448493
11/05/2023,51540.69922,52163.71875,51540.69922,52107.07813,1203428
